Text#,Title,Authors
23339,Indirection,"Cole, Everett B., 1910-2001; Freas, Kelly, 1922-2005 [Illustrator]"
23379,Old Mr. Wiley,"La Spina, Greye, 1880-1969"
23408,Far from Home,"Taylor, J. A.; Emshwiller, Ed, 1925-1990 [Illustrator]"
23426,The Last Place on Earth,"Harmon, Jim, 1933-2010"
23429,On Handling the Data,"Mayfield, M. I.; Freas, Kelly, 1922-2005 [Illustrator]"
23439,Attention Saint Patrick,"Leinster, Murray, 1896-1975; Bernklau [Illustrator]"
23443,Unspecialist,"Yaco, Murray F.; Freas, Kelly, 1922-2005 [Illustrator]"
23509,The Beast of Space,"Hardart, F. E."
23534,...Or Your Money Back,"Garrett, Randall, 1927-1987"
23535,The Invaders,"Ferris, Benjamin; Napoli, Vincent, 1907-1981 [Illustrator]"
23561,Anchorite,"Garrett, Randall, 1927-1987; Schelling, George, 1938- [Illustrator]"
23563,Viewpoint,"Garrett, Randall, 1927-1987"
23568,The Mississippi Saucer,"Long, Frank Belknap, 1903-1994; Arfstrom, Jon, 1928- [Illustrator]"
23571,General Max Shorter,"Neville, Kris, 1925-1980"
23588,A Filbert Is a Nut,"Raphael, Rick, 1919-1994"
23591,I Was a Teen-Age Secret Weapon,"Sabia, Richard; Freas, Kelly, 1922-2005 [Illustrator]"
23592,Breakaway,"Gimble, Stanley; Freas, Kelly, 1922-2005 [Illustrator]"
23599,The Big Fix,"Smith, George O. (George Oliver), 1911-1981; Bernklau [Illustrator]"
23612,The Leader,"Leinster, Murray, 1896-1975; Van Dongen, H. R., 1920-2010 [Illustrator]"
23636,A Matter of Importance,"Leinster, Murray, 1896-1975"
23651,Test Rocket!,"Douglas, Jack"
23657,That Sweet Little Old Lady,"Garrett, Randall, 1927-1987; Janifer, Laurence M., 1933-2002; Freas, Kelly, 1922-2005 [Illustrator]"
23669,Summit,"Reynolds, Mack, 1917-1983"
23678,Tales of Fantasy and Fact,"Matthews, Brander, 1852-1929"
23688,The Indulgence of Negu Mah,"Arthur, Robert, 1909-1969"
23731,A Martian Odyssey,"Weinbaum, Stanley G. (Stanley Grauman), 1902-1935"
23762,Blessed are the meek,"Edmondson, G. C., 1922-1995; Freas, Kelly, 1922-2005 [Illustrator]"
23764,The Bramble Bush,"Garrett, Randall, 1927-1987; Schelling, George, 1938- [Illustrator]"
23767,The Talkative Tree,"Fyfe, H. B. (Horace Bowne), 1918-1997"
23790,The Ultimate Weapon,"Campbell, John W., Jr. (John Wood), 1910-1971"
